hybrid reset particles  hybrid_init  v/=4:
McTwo/Hill_Valley.txt  16/100  0.613249299719888   0.5412087912087912
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/CNAE-9.txt  534/856  0.8266666666666668   0.7962962962962963
McTwo/DrivFace.txt  348/6400  0.9719269102990034   0.9505494505494505
McTwo/gisette_valid.txt  1257/5000  0.96   0.94
McTwo/isolet5.txt  182/617  0.8404837364470392   0.8290598290598291
McTwo/Multiple Features.txt  123/649  0.9857142857142858   0.9733333333333334
McTwo/CNAE-9.txt  560/856  0.8559298245614035   0.8641975308641975
McTwo/DrivFace.txt  372/6400  0.967109634551495   0.9615384615384616
McTwo/gisette_valid.txt  1448/5000  0.9542857142857144   0.94
McTwo/isolet5.txt  123/617  0.856997497914929   0.8547008547008547
McTwo/Multiple Features.txt  232/649  0.9821428571428573   0.9833333333333333
McTwo/CNAE-9.txt  466/856  0.8253333333333334   0.8179012345679012
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/CNAE-9.txt  697/856  0.8517894736842105   0.8024691358024691
McTwo/DrivFace.txt  378/6400  0.9764673311184939   0.967032967032967
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/CNAE-9.txt  502/856  0.8400526315789474   0.8487654320987654
McTwo/DrivFace.txt  338/6400  0.9765227021040974   0.978021978021978
McTwo/gisette_valid.txt  1492/5000  0.9585714285714287   0.92
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/isolet5.txt  111/617  0.8634612176814012   0.8525641025641025
McTwo/LSVT.txt  35/310  0.9416666666666667   0.7631578947368421
McTwo/movement_libras.txt  20/90  0.7689230769230768   0.5963302752293578
McTwo/MUSK1.txt  48/166  0.901336898395722   0.8251748251748252
McTwo/Sonar.txt  21/60  0.9166666666666667   0.746031746031746
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/isolet5.txt  86/617  0.8661884904086739   0.8504273504273504
McTwo/LSVT.txt  66/310  0.9097222222222221   0.8421052631578947
McTwo/movement_libras.txt  14/90  0.7052307692307691   0.7155963302752294
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/isolet5.txt  136/617  0.8588789744878722   0.8226495726495726
McTwo/LSVT.txt  35/310  0.9326797385620915   0.7368421052631579
McTwo/movement_libras.txt  17/90  0.7294117647058824   0.6330275229357798
McTwo/MUSK1.txt  44/166  0.8949796472184532   0.8321678321678322
McTwo/Sonar.txt  23/60  0.8758620689655171   0.8095238095238095
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/isolet5.txt  157/617  0.8524779020568891   0.8482905982905983
McTwo/LSVT.txt  83/310  0.9431372549019607   0.6842105263157895
McTwo/movement_libras.txt  17/90  0.7051764705882352   0.6880733944954128
McTwo/MUSK1.txt  38/166  0.8800995024875622   0.8741258741258742
McTwo/Sonar.txt  11/60  0.8896551724137932   0.6507936507936508
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/isolet5.txt  98/617  0.8689413933224415   0.8482905982905983
McTwo/LSVT.txt  52/310  0.9418300653594771   0.7368421052631579
McTwo/movement_libras.txt  19/90  0.7214901960784313   0.7889908256880734
McTwo/MUSK1.txt  31/166  0.885753052917232   0.8601398601398601
McTwo/Sonar.txt  16/60  0.903448275862069   0.7936507936507936
McTwo/isolet5.txt  109/617  0.8661890997444598   0.8525641025641025
McTwo/LSVT.txt  48/310  0.9209150326797386   0.6842105263157895
McTwo/movement_libras.txt  13/90  0.7094901960784312   0.7247706422018348
McTwo/MUSK1.txt  27/166  0.8677973767526005   0.8041958041958042
McTwo/Sonar.txt  19/60  0.8758620689655172   0.9365079365079365
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/isolet5.txt  96/617  0.8689372041389133   0.8717948717948718
McTwo/LSVT.txt  42/310  0.9549019607843137   0.868421052631579
McTwo/movement_libras.txt  18/90  0.6975686274509804   0.6788990825688074
McTwo/MUSK1.txt  33/166  0.9040705563093623   0.7902097902097902
McTwo/Sonar.txt  17/60  0.9172413793103449   0.7619047619047619
McTwo/isolet5.txt  111/617  0.8661890997444598   0.8867521367521367
McTwo/LSVT.txt  47/310  0.9215686274509804   0.8157894736842105
McTwo/movement_libras.txt  26/90  0.6694901960784315   0.6880733944954128
McTwo/MUSK1.txt  27/166  0.8918588873812754   0.8391608391608392
McTwo/Sonar.txt  17/60  0.903448275862069   0.8095238095238095
McTwo/isolet5.txt  102/617  0.8726488207448367   0.8247863247863247
McTwo/LSVT.txt  46/310  0.9431372549019607   0.7894736842105263
McTwo/movement_libras.txt  32/90  0.7294901960784314   0.6788990825688074
McTwo/MUSK1.txt  33/166  0.9038444142921754   0.8601398601398601
McTwo/Sonar.txt  19/60  0.8896551724137931   0.8253968253968254
McTwo/isolet5.txt  117/617  0.8717020652674794   0.8653846153846154
McTwo/LSVT.txt  25/310  0.9444444444444444   0.7631578947368421
McTwo/movement_libras.txt  22/90  0.7487843137254903   0.6880733944954128
McTwo/MUSK1.txt  40/166  0.898100407055631   0.8251748251748252
McTwo/Sonar.txt  19/60  0.903448275862069   0.7777777777777778
McTwo/isolet5.txt  89/617  0.8634032926982531   0.8269230769230769
McTwo/LSVT.txt  30/310  0.9326797385620915   0.8947368421052632
McTwo/movement_libras.txt  26/90  0.6856470588235293   0.6697247706422018
McTwo/MUSK1.txt  30/166  0.9007236544549977   0.8251748251748252
McTwo/Sonar.txt  22/60  0.8965517241379309   0.8095238095238095
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/isolet5.txt  99/617  0.8689372041389134   0.8354700854700855
McTwo/LSVT.txt  50/310  0.9326797385620915   0.7631578947368421
McTwo/movement_libras.txt  26/90  0.7010980392156864   0.7064220183486238
McTwo/MUSK1.txt  39/166  0.9129353233830846   0.8111888111888111
McTwo/Sonar.txt  12/60  0.8896551724137932   0.7142857142857143
hybrid reset particles  hybrid_init mdlp  v/=4:
hybrid reset particles  hybrid_init mdlp  v/=4:
McTwo/isolet5.txt  111/617  0.8634242386158938   0.8486231346359965  0.8418803418803419
McTwo/LSVT.txt  49/310  0.9209150326797386   0.8732307692307693  0.868421052631579
